Year,Number,Ticker,Company
2021,"11,300",NFLX,"Netflix, Inc."
2020,"9,400",NFLX,"Netflix, Inc."
2019,"8,600",NFLX,"Netflix, Inc."
2018,"7,300",NFLX,"Netflix, Inc."
2017,"5,500",NFLX,"Netflix, Inc."
2016,"4,700",NFLX,"Netflix, Inc."
2015,"3,700",NFLX,"Netflix, Inc."
2014,"2,189",NFLX,"Netflix, Inc."
2013,"2,022",NFLX,"Netflix, Inc."
2012,"2,045",NFLX,"Netflix, Inc."
2011,"2,348",NFLX,"Netflix, Inc."
2010,"2,180",NFLX,"Netflix, Inc."
2009,"1,883",NFLX,"Netflix, Inc."
